"DispNum3","StDay","StMon","StYear","EndDay","EndMon","EndYear","Outcome","Settle","Fatality","HiAct","HostLev","Recip","NumA","NumB","Ongo2010","StDate","EndDate","incidnum","year","loctext","latitude","longitude","onset"
4340,"24","01",1993,"20","02",1993,5,4,1,16,4,1,1,1,0,"24/24/1993","20/20/1993",4340004,1993,"Village of Sitnica, near coastal town of Herceg-Novi, YUG",42.45,18.53333,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341001,1993,"Travnik, Dolac na Lasvi, Sljeme, central BOS",44.21667,17.66667,1
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341002,1993,"Near Mostar, BOS",43.33333,17.8,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341003,1993,"In and around Gornji Vakuf, central BOS",43.33333,17.8,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341004,1993,"Mostar, Southwest BOS",43.33333,17.8,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341005,1993,"Northwestern BOS",44.76667,17.18333,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341006,1993,"Central and southwest BOS, near Gornji Vakuf and Mostar",43.33333,17.8,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341007,1993,"Region surrounding and including Mostar, BOS",43.33333,17.8,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341008,1993,"Region surrounding and including Gornji Vakuf, central BOS",43.33333,17.8,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341009,1993,0,-9999,-9999,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341010,1994,"Mostar, BOS",43.33333,17.8,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341011,1994,"Mostar, BOS",43.33333,17.8,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341012,1994,"Mostar, BOS",43.33333,17.8,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341013,1994,"Near Gornji, Vakuf, BOS",43.33333,17.8,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341014,1994,".",-9999,-9999,0
4341,"05","06",1993,"02","03",1994,6,1,4,17,4,1,1,1,0,"05/05/1993","02/02/1994",4341015,1994,".",-9999,-9999,0
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342001,1999,"YUG-MAC border",42.21667,21.56667,1
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342002,1999,"Black Sea",43.31667,34,0
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342003,1999,"Black Sea",43.31667,34,0
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342004,1999,"Black Sea",43.31667,34,0
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342005,1999,"Black Sea",43.31667,34,0
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342006,1999,"Black Sea",43.31667,34,0
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342007,1999,"Black Sea",43.31667,34,0
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342008,1999,"Black Sea",43.31667,34,0
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342009,1999,"Black Sea",43.31667,34,0
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342010,1999,"Black Sea",43.31667,34,0
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342011,1999,"Black Sea",43.31667,34,0
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342012,1999,"Black Sea",43.31667,34,0
4342,"08","04",1999,"19","04",1999,5,4,0,8,3,0,1,13,0,"08/08/1999","19/19/1999",4342013,1999,"Black Sea",43.31667,34,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343001,2000,"Location type: unspecified.",44.16,19.56,1
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343002,2000,"Along the border with Kosovo. Location type: shared border.",42.98333,21.21667,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343003,2000,"Unspecified.",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343004,2000,"unspecified.",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343005,2000,"unspecified",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343006,2000,"unspecified",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343007,2000,"unspecified",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343008,2000,"unspecified",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343009,2000,"unspecified.",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343010,2000,"unspecified.",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343011,2000,"unspecified.",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343012,2000,"unspecified.",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343013,2000,"unspecified.",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343014,2000,"unspecified.",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343015,2000,"unspecified.",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343016,2000,"unspecified.",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343017,2000,"unspecified.",-9999,-9999,0
4343,"24","11",2000,"28","11",2000,4,4,0,7,3,0,1,38,0,"24/24/2000","28/28/2000",4343018,2000,"unspecified.",-9999,-9999,0
